species_id,group_name,invname,comname,alt_status,sciname,status_category,region_name,id,abbrev,region_num,region_desc,vip,status
4566,Flowering Plants,"Ceanothus, Vail Lake",Vail Lake ceanothus,,Ceanothus ophiochilus,Listed,Region 8,1166,Wherever found,8,Pacific Southwest Region,P,Threatened
7358,Flowering Plants,Kolea,Kolea,,Myrsine fosbergii,Listed,Region 1,5763,Wherever found,1,Pacific Region,P,Endangered
5687,Flowering Plants,"Tarplant, Otay",Otay tarplant,,Deinandra (=Hemizonia) conjugens,Listed,Region 8,559,Wherever found,8,Pacific Southwest Region,P,Threatened
5492,Flowering Plants,"Bear-poppy, Dwarf",Dwarf Bear-poppy,,Arctomecon humilis,Listed,Region 6,631,Wherever found,6,Mountain Prairie Region,P,Endangered
9615,Flowering Plants,loulu,loulu,,Pritchardia bakeri,Listed,Region 1,10590,Wherever found,1,Pacific Region,P,Endangered
2159,Flowering Plants,"Ladies'-tresses, Ute",Ute ladies'-tresses,,Spiranthes diluvialis,Listed,Region 6,1073,Wherever found,6,Mountain Prairie Region,P,Threatened
7349,Flowering Plants,No common name,No common name,,Gesneria pauciflora,Listed,Region 4,1057,Wherever found,4,Southeast Region,P,Threatened
956,Flowering Plants,"Brickell-bush, Florida",Florida brickell-bush,,Brickellia mosieri,Listed,Region 4,4420,,4,Southeast Region,P,Endangered
5785,Flowering Plants,"Cactus, Acuña",Acuña Cactus,,Echinomastus erectocentrus var. acunensis,Listed,Region 2,7054,Wherever found,2,Southwest Region,P,Endangered
7756,Ferns and Allies,"Quillwort, Louisiana",Louisiana quillwort,,Isoetes louisianensis,Listed,Region 4,1199,Wherever found,4,Southeast Region,P,Endangered
5775,Flowering Plants,"Milk-vetch, Lane Mountain",Lane Mountain milk-vetch,,Astragalus jaegerianus,Listed,Region 8,510,Wherever found,8,Pacific Southwest Region,P,Endangered
9752,Flowering Plants,No common name,No common name,,Eugenia bryanii,Listed,Region 1,10721,Wherever found,1,Pacific Region,P,Endangered
6300,Flowering Plants,"Leather flower, Alabama",Alabama leather flower,,Clematis socialis,Listed,Region 4,1048,Wherever found,4,Southeast Region,P,Endangered
2399,Flowering Plants,loulu,loulu,,Pritchardia remota,Listed,Region 1,598,Wherever found,1,Pacific Region,P,Endangered
4313,Flowering Plants,"Flax, sand",Sand flax,,Linum arenicola,Listed,Region 4,1535,,4,Southeast Region,P,Endangered
5812,Flowering Plants,loulu,loulu,,Pritchardia lanigera,Listed,Region 1,3054,Wherever found,1,Pacific Region,P,Endangered
97,Flowering Plants,No common name,No common name,,Polyscias bisattenuata,Listed,Region 1,7886,Wherever found,1,Pacific Region,P,Endangered
9493,Flowering Plants,No common name,haiwale,,Cyrtandra wagneri,Listed,Region 1,10481,Wherever found,1,Pacific Region,P,Endangered
6578,Flowering Plants,nehe,nehe,,Lipochaeta venosa,Listed,Region 1,757,Wherever found,1,Pacific Region,P,Endangered
4585,Flowering Plants,No common name,No common name,,Tetramolopium filiforme,Listed,Region 1,847,Wherever found,1,Pacific Region,P,Endangered
9491,Flowering Plants,No common name,kookoolau,,Bidens hillebrandiana ssp. hillebrandiana,Listed,Region 1,10479,Wherever found,1,Pacific Region,P,Endangered
4609,Ferns and Allies,No common name,No common name,,Thelypteris yaucoensis,Listed,Region 4,1217,Wherever found,4,Southeast Region,P,Endangered
3825,Flowering Plants,Aupaka,Aupaka,,Isodendrion laurifolium,Listed,Region 1,563,Wherever found,1,Pacific Region,P,Endangered
4024,Flowering Plants,haha,haha,,Cyanea gibsonii,Listed,Region 1,1052,Wherever found,1,Pacific Region,P,Endangered
5499,Flowering Plants,"Spurge, telephus",Telephus spurge,,Euphorbia telephioides,Listed,Region 4,937,,4,Southeast Region,P,Threatened
8153,Flowering Plants,"Thistle, Pitcher's",Pitcher's thistle,,Cirsium pitcheri,Listed,Region 3,905,Wherever found,3,Midwest Region,P,Threatened
1435,Flowering Plants,"Gladecress, Fleshy-fruit",Fleshy-fruit gladecress,,Leavenworthia crassa,Listed,Region 4,1710,Wherever found,4,Southeast Region,P,Endangered
2947,Flowering Plants,Na`ena`e,Na`ena`e,,Dubautia imbricata ssp. imbricata,Listed,Region 1,4858,Wherever found,1,Pacific Region,P,Endangered
1201,Flowering Plants,"Water-umbel, Huachuca",Huachuca water-umbel,,Lilaeopsis schaffneriana var. recurva,Listed,Region 2,1030,Wherever found,2,Southwest Region,P,Endangered
2012,Flowering Plants,"Bladderpod, Spring Creek",Spring Creek bladderpod,,Lesquerella perforata,Listed,Region 4,568,Wherever found,4,Southeast Region,P,Endangered
5674,Flowering Plants,"Milk-vetch, Braunton's",Braunton's milk-vetch,,Astragalus brauntonii,Listed,Region 8,507,Wherever found,8,Pacific Southwest Region,P,Endangered
7990,Flowering Plants,Pilo kea lau li`i,Pilo kea lau li`i,,Platydesma rostrata,Listed,Region 1,3387,Wherever found,1,Pacific Region,P,Endangered
8154,Flowering Plants,Ha`iwale,Ha`iwale,,Cyrtandra viridiflora,Listed,Region 1,1112,Wherever found,1,Pacific Region,P,Endangered
8032,Flowering Plants,Nohoanu,Nohoanu,,Geranium hanaense,Listed,Region 1,2758,Wherever found,1,Pacific Region,P,Endangered
5301,Flowering Plants,No common name,No common name,,Stenogyne kanehoana,Listed,Region 1,839,Wherever found,1,Pacific Region,P,Endangered
6291,Flowering Plants,"Birds-in-a-nest, white",White birds-in-a-nest,,Macbridea alba,Listed,Region 4,761,,4,Southeast Region,P,Threatened
123,Flowering Plants,"Phacelia, North Park",North Park phacelia,,Phacelia formosula,Listed,Region 6,797,Wherever found,6,Mountain Prairie Region,P,Endangered
7374,Flowering Plants,loulu,loulu,,Pritchardia schattaueri,Listed,Region 1,1063,Wherever found,1,Pacific Region,P,Endangered
5298,Flowering Plants,"Rush-pea, slender",Slender rush-pea,,Hoffmannseggia tenella,Listed,Region 2,739,Wherever found,2,Southwest Region,P,Endangered
4895,Ferns and Allies,"Fern, Elfin tree",Elfin tree fern,,Cyathea dryopteroides,Listed,Region 4,1206,Wherever found,4,Southeast Region,P,Endangered
594,Flowering Plants,"Vetch, Hawaiian",Hawaiian vetch,,Vicia menziesii,Listed,Region 1,861,Wherever found,1,Pacific Region,P,Endangered
2509,Flowering Plants,Ma`oli`oli,Ma`oli`oli,,Schiedea hawaiiensis,Listed,Region 1,3175,Wherever found,1,Pacific Region,P,Endangered
8489,Flowering Plants,"Trillium, relict",Relict trillium,,Trillium reliquum,Listed,Region 4,1042,Wherever found,4,Southeast Region,P,Endangered
7698,Flowering Plants,"Spineflower, Sonoma",Sonoma spineflower,,Chorizanthe valida,Listed,Region 8,666,Wherever found,8,Pacific Southwest Region,P,Endangered
7607,Flowering Plants,"Spineflower, Howell's",Howell's spineflower,,Chorizanthe howellii,Listed,Region 8,902,Wherever found,8,Pacific Southwest Region,P,Endangered
1197,Flowering Plants,"Thelypody, Howell''s spectacular",Howell''s spectacular thelypody,,Thelypodium howellii ssp. spectabilis,Listed,Region 1,1008,Wherever found,1,Pacific Region,P,Threatened
4923,Flowering Plants,"Orcutt grass, California",California Orcutt grass,,Orcuttia californica,Listed,Region 8,785,Wherever found,8,Pacific Southwest Region,P,Endangered
