Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Mississippi
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Mississippi
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Mississippi
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Mississippi
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Mississippi
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Mississippi
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Mississippi
ACNET,,Acer negundo L. var. texanum Pax,boxelder,Aceraceae,Mississippi
ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schwerin,,Aceraceae,Mississippi
ACOP,,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower,Asteraceae,Mississippi
ACOPR,,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,oppositeleaf spotflower,Asteraceae,Mississippi
ACOPR,ACRE6,Acmella repens (Walter) Rich.,,Asteraceae,Mississippi
ACOPR,SPAM3,Spilanthes americana auct. non Hieron. p.p.,,Asteraceae,Mississippi
ACOPR,SPAMR3,Spilanthes americana (Mutis ex L. f.) Hieron. var. repens (Walter) A.H. Moore,,Asteraceae,Mississippi
ACORU,,Acorus L.,sweetflag,Acoraceae,Mississippi
ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,Euphorbiaceae,Mississippi
ACOS,ACCA8,Acalypha caroliniana Elliott,,Euphorbiaceae,Mississippi
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,Mississippi
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,Mississippi
ACRA7,,Actaea racemosa L.,black baneberry,Ranunculaceae,Mississippi
ACRAR,,Actaea racemosa L. var. racemosa,black bugbane,Ranunculaceae,Mississippi
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,,Ranunculaceae,Mississippi
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,Mississippi
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,Mississippi
ACRU,,Acer rubrum L.,red maple,Aceraceae,Mississippi
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,Mississippi
ACRUD,,Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,Drummond's maple,Aceraceae,Mississippi
ACRUD,ACDR,Acer drummondii Hook. & Arn. ex Nutt.,,Aceraceae,Mississippi
ACRUD,ACRUD2,Acer rubrum L. ssp. drummondii (Hook. & Arn. ex Nutt.) A.E. Murray,,Aceraceae,Mississippi
ACRUD,RUDR3,Rufacer drummondii (Hook. & Arn. ex Nutt.) Small,,Aceraceae,Mississippi
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,Mississippi
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,Mississippi
ACRUR,ACST,Acer stenocarpum Britton,,Aceraceae,Mississippi
ACRUR,RURU5,Rufacer rubrum (L.) Small,,Aceraceae,Mississippi
ACRUT,,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Aceraceae,Mississippi
ACRUT,ACCA9,Acer carolinianum Walter,,Aceraceae,Mississippi
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,,Aceraceae,Mississippi
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,,Aceraceae,Mississippi
ACSA2,,Acer saccharinum L.,silver maple,Aceraceae,Mississippi
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae,Mississippi
