Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ACRUR2,,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry,Ranunculaceae,Rhode Island
ACRUR2,ACRUR3,Actaea rubra (Aiton) Willd. var. rubra,,Ranunculaceae,Rhode Island
ACRUR2,ACSPR3,Actaea spicata L. ssp. rubra (Aiton) Hultén,,Ranunculaceae,Rhode Island
ACRUT,,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Aceraceae,Rhode Island
ACRUT,ACCA9,Acer carolinianum Walter,,Aceraceae,Rhode Island
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,,Aceraceae,Rhode Island
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,,Aceraceae,Rhode Island
ACSA2,,Acer saccharinum L.,silver maple,Aceraceae,Rhode Island
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae,Rhode Island
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,,Aceraceae,Rhode Island
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,,Aceraceae,Rhode Island
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,,Aceraceae,Rhode Island
ACSA3,,Acer saccharum Marshall,sugar maple,Aceraceae,Rhode Island
ACSAS,,Acer saccharum Marshall var. saccharum,sugar maple,Aceraceae,Rhode Island
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmidt) Fosberg,,Aceraceae,Rhode Island
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K. Koch) R.T. Clausen,,Aceraceae,Rhode Island
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schmidt) Sarg.,,Aceraceae,Rhode Island
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) Rehder,,Aceraceae,Rhode Island
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,,Aceraceae,Rhode Island
ACSP2,,Acer spicatum Lam.,mountain maple,Aceraceae,Rhode Island
ACTA80,,Acer tataricum L.,tatarian maple,Aceraceae,Rhode Island
ACTAE,,Actaea L.,baneberry,Ranunculaceae,Rhode Island
ACVI,,Acalypha virginica L.,Virginia threeseed mercury,Euphorbiaceae,Rhode Island
ADFU,,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine,Fumariaceae,Rhode Island
ADIAN,,Adiantum L.,maidenhair fern,Pteridaceae,Rhode Island
ADLUM,,Adlumia Raf. ex DC.,adlumia,Fumariaceae,Rhode Island
ADPE,,Adiantum pedatum L.,northern maidenhair,Pteridaceae,Rhode Island
AECY2,,Aethusa cynapium L.,fool's parsley,Apiaceae,Rhode Island
AEGOP,,Aegopodium L.,goutweed,Apiaceae,Rhode Island
AEHI,,Aesculus hippocastanum L.,horse chestnut,Hippocastanaceae,Rhode Island
AEPO,,Aegopodium podagraria L.,bishop's goutweed,Apiaceae,Rhode Island
AEPO,AEPOV,Aegopodium podagraria L. var. variegatum L.H. Bailey,,Apiaceae,Rhode Island
AESCU,,Aesculus L.,buckeye,Hippocastanaceae,Rhode Island
AETHU,,Aethusa L.,aethusa,Apiaceae,Rhode Island
AGAC,,Agalinis acuta Pennell,sandplain false foxglove,Scrophulariaceae,Rhode Island
