Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,,Fabaceae,New Mexico
ACAR14,,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,Poaceae,New Mexico
ACAR14,STAR2,Stipa arida M.E. Jones,,Poaceae,New Mexico
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,New Mexico
ACBL,,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],Bloomer ricegrass,Poaceae,New Mexico
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,,Poaceae,New Mexico
ACBL,STBL4,Stipa bloomeri Bol.,,Poaceae,New Mexico
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,,Poaceae,New Mexico
ACCO4,,Aconitum columbianum Nutt.,monkshood (columbian),Ranunculaceae,New Mexico
ACCOC3,,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,Ranunculaceae,New Mexico
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Piper,,Ranunculaceae,New Mexico
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,,Ranunculaceae,New Mexico
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,,Ranunculaceae,New Mexico
ACCOC3,ACGE3,Aconitum geranioides Greene,,Ranunculaceae,New Mexico
ACCOC3,ACLE6,Aconitum leibergii Greene,,Ranunculaceae,New Mexico
ACCOC3,ACMO3,Aconitum mogollonicum Greene,,Ranunculaceae,New Mexico
ACCU6,,Achnatherum curvifolium (Swallen) Barkworth,Guadalupe needlegrass,Poaceae,New Mexico
ACCU6,STCU2,Stipa curvifolia Swallen,,Poaceae,New Mexico
ACEM4,,Achnatherum eminens (Cav.) Barkworth,southwestern needlegrass,Poaceae,New Mexico
ACEM4,STEM2,Stipa eminens Cav.,,Poaceae,New Mexico
ACER,,Acer L.,maple,Aceraceae,New Mexico
ACGL,,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae,New Mexico
ACGLG2,,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Aceraceae,New Mexico
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax,,Aceraceae,New Mexico
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Keller,,Aceraceae,New Mexico
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,,Aceraceae,New Mexico
ACGLN2,,Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles,New Mexico maple,Aceraceae,New Mexico
ACGLN2,ACGLN,Acer glabrum Torr. ssp. neomexicanum (Greene) A.E. Murray,,Aceraceae,New Mexico
ACGLN2,ACGLP,Acer glabrum Torr. var. parviflorum A.E. Murray,,Aceraceae,New Mexico
ACGLN2,ACNE6,Acer neomexicanum Greene,,Aceraceae,New Mexico
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple,Aceraceae,New Mexico
ACGRG,,Acer grandidentatum Nutt. var. grandidentatum,bigtooth maple,Aceraceae,New Mexico
ACGRG,ACSAG2,Acer saccharum Marshall ssp. grandidentatum (Nutt.) Desmarais,,Aceraceae,New Mexico
ACGRG,ACSAG3,Acer saccharum Marshall var. grandidentatum (Nutt.) Sudw.,,Aceraceae,New Mexico
ACGRG,SAGR17,Saccharodendron grandidentatum (Nutt.) Nieuwl.,,Aceraceae,New Mexico
ACGRS,,Acer grandidentatum Nutt. var. sinuosum (Rehder) Little,canyon maple,Aceraceae,New Mexico
ACGRS,ACBR,Acer brachypterum Wooton & Standl.,,Aceraceae,New Mexico
ACGRS,ACGRB,Acer grandidentatum Nutt. var. brachypterum (Wooton & Standl.) Palmer,,Aceraceae,New Mexico
ACGRS,ACSAB,Acer saccharum Marshall ssp. brachypterum (Wooton & Standl.) A.E. Murray,,Aceraceae,New Mexico
ACGRS,ACSAS3,Acer saccharum Marshall var. sinuosum (Rehder) Sarg.,,Aceraceae,New Mexico
ACGRS,ACSI3,Acer sinuosum Rehder,,Aceraceae,New Mexico
ACHIL,,Achillea L.,yarrow,Asteraceae,New Mexico
ACHNA,,Achnatherum P. Beauv.,needlegrass spp.,Poaceae,New Mexico
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae,New Mexico
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Poaceae,New Mexico
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,Poaceae,New Mexico
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,Poaceae,New Mexico
ACLE9,,Achnatherum lettermanii (Vasey) Barkworth,Letterman's needlegrass,Poaceae,New Mexico
ACLE9,STLE4,Stipa lettermanii Vasey,,Poaceae,New Mexico
ACLEI,,Acleisanthes A. Gray,trumpets,Nyctaginaceae,New Mexico
ACLO2,,Acleisanthes longiflora A. Gray,angel's trumpets,Nyctaginaceae,New Mexico
ACLO7,,Achnatherum lobatum (Swallen) Barkworth,little awn needlegrass,Poaceae,New Mexico
ACLO7,STLO3,Stipa lobata Swallen,,Poaceae,New Mexico
ACMI2,,Achillea millefolium L.,yarrow (common),Asteraceae,New Mexico
ACMIA,,Achillea millefolium L. var. alpicola (Rydb.) Garrett,common yarrow,Asteraceae,New Mexico
ACMIA,ACAL11,Achillea alpicola (Rydb.) Rydb.,,Asteraceae,New Mexico
ACMIA,ACFU,Achillea fusca Rydb.,,Asteraceae,New Mexico
ACMIA,ACLAA,Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck,,Asteraceae,New Mexico
ACMIA,ACLAA2,Achillea lanulosa Nutt. var. alpicola Rydb.,,Asteraceae,New Mexico
ACMIA,ACMIF,Achillea millefolium L. var. fusca (Rydb.) G.N. Jones,,Asteraceae,New Mexico
ACMIA,ACSU3,Achillea subalpina Greene,,Asteraceae,New Mexico
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,New Mexico
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,New Mexico
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,New Mexico
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,New Mexico
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,New Mexico
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,New Mexico
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,New Mexico
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,New Mexico
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,New Mexico
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,New Mexico
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,New Mexico
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,New Mexico
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,New Mexico
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,New Mexico
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,New Mexico
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,New Mexico
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,New Mexico
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,New Mexico
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,New Mexico
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,New Mexico
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,New Mexico
ACNA2,,Acourtia nana (A. Gray) Reveal & R.M. King,desert holly,Asteraceae,New Mexico
ACNA2,PENA5,Perezia nana A. Gray,,Asteraceae,New Mexico
ACNE,,Acalypha neomexicana Müll. Arg.,New Mexico copperleaf,Euphorbiaceae,New Mexico
ACNE2,,Acer negundo L.,boxelder,Aceraceae,New Mexico
ACNE9,,Achnatherum nelsonii (Scribn.) Barkworth,Columbia needlegrass,Poaceae,New Mexico
ACNEA,,Acer negundo L. var. arizonicum Sarg.,Arizona boxelder,Aceraceae,New Mexico
