Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Virginia
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Virginia
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Virginia
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Virginia
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Virginia
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Virginia
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Virginia
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Virginia
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Virginia
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Virginia
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Virginia
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Virginia
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Virginia
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Virginia
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Virginia
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Virginia
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Virginia
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Virginia
ACNET,,Acer negundo L. var. texanum Pax,boxelder,Aceraceae,Virginia
ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schwerin,,Aceraceae,Virginia
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,Virginia
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,Virginia
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,Virginia
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,Virginia
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,Virginia
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,Virginia
ACONI,,Aconitum L.,monkshood,Ranunculaceae,Virginia
ACORU,,Acorus L.,sweetflag,Acoraceae,Virginia
ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,Euphorbiaceae,Virginia
ACOS,ACCA8,Acalypha caroliniana Elliott,,Euphorbiaceae,Virginia
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,Virginia
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,Virginia
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,Virginia
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,Virginia
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,Virginia
ACPO11,,Actaea podocarpa DC.,mountain bugbane,Ranunculaceae,Virginia
ACPO11,ACCO25,Actaea cordifolia DC.,,Ranunculaceae,Virginia
ACPO11,CIAM,Cimicifuga americana Michx.,,Ranunculaceae,Virginia
ACPO11,CICO9,Cimicifuga cordifolia (DC.) Torr. & A. Gray,,Ranunculaceae,Virginia
ACPO11,CIRAC,Cimicifuga racemosa (L.) Nutt. var. cordifolia (DC.) A. Gray,,Ranunculaceae,Virginia
ACRA7,,Actaea racemosa L.,black baneberry,Ranunculaceae,Virginia
ACRAR,,Actaea racemosa L. var. racemosa,black bugbane,Ranunculaceae,Virginia
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,,Ranunculaceae,Virginia
ACRE,,Aconitum reclinatum A. Gray,trailing white monkshood,Ranunculaceae,Virginia
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,Virginia
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,Virginia
ACRU,,Acer rubrum L.,red maple,Aceraceae,Virginia
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,Virginia
ACRU14,,Actaea rubifolia (Kearney) Kartesz,Appalachian bugbane,Ranunculaceae,Virginia
