Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ADPU,,Adiantum pulverulentum L.,glossy maidenhair,Pteridaceae,Virgin Islands
ADPY,,Adiantum pyramidale (L.) Willd.,pyramid maidenhair,Pteridaceae,Virgin Islands
ADPY,ADCR,Adiantum cristatum L.,,Pteridaceae,Virgin Islands
ADRI,,Adelia ricinella L.,wild lime,Euphorbiaceae,Virgin Islands
ADRI,RIRI,"Ricinella ricinella (L.) Britton & P. Wilson, nom. inval.",,Euphorbiaceae,Virgin Islands
ADTE,,Adiantum tenerum Sw.,fan maidenhair,Pteridaceae,Virgin Islands
ADVE2,,Adenostemma verbesina (L.) Sch. Bip.,tropical medicineplant,Asteraceae,Virgin Islands
ADVE2,COVE7,Cotula verbesina L.,,Asteraceae,Virgin Islands
ADVI,,Adiantum villosum L.,woolly maidenhair,Pteridaceae,Virgin Islands
AEAM,,Aeschynomene americana L.,shyleaf,Fabaceae,Virgin Islands
AEAM,AEAMG,Aeschynomene americana L. var. glandulosa (Poir.) Rudd,,Fabaceae,Virgin Islands
AECHM,,Aechmea Ruiz & Pav.,livingvase,Bromeliaceae,Virgin Islands
AEGIP,,Aegiphila Jacq.,spiritweed,Verbenaceae,Virgin Islands
AEIN5,,Aegiphila integrifolia (Jacq.) Jacq.,entireleaf spiritweed,Verbenaceae,Virgin Islands
AELI,,Aechmea lingulata (L.) Baker,West Indian livingvase,Bromeliaceae,Virgin Islands
AELI,WILI,Wittmackia lingulata (L.) Mez,,Bromeliaceae,Virgin Islands
AEMA,,Aegiphila martinicensis Jacq.,Caribbean spiritweed,Verbenaceae,Virgin Islands
AEMA,AEMAO,Aegiphila martinicensis Jacq. var. oligoneura (Urb.) Moldenke,,Verbenaceae,Virgin Islands
AESCH,,Aeschynomene L.,jointvetch,Fabaceae,Virgin Islands
AESE2,,Aeschynomene sensitiva Sw.,sensitive jointvetch,Fabaceae,Virgin Islands
AESES,,Aeschynomene sensitiva Sw. var. sensitiva,sensitive jointvetch,Fabaceae,Virgin Islands
AGAM,,Agave americana L.,American century plant,Agavaceae,Virgin Islands
AGAMA,,Agave americana L. ssp. americana,American century plant,Agavaceae,Virgin Islands
AGAMA,AGAMM,Agave americana L. var. marginata Trel.,,Agavaceae,Virgin Islands
AGAMA,AGAMM2,Agave americana L. var. mediopicta Trel.,,Agavaceae,Virgin Islands
AGAMA,AGAMS,Agave americana L. var. striata Trel.,,Agavaceae,Virgin Islands
AGAMA2,,Agave americana L. ssp. americana var. americana,American century plant,Agavaceae,Virgin Islands
AGAVE,,Agave L.,agave,Agavaceae,Virgin Islands
AGCO,,Ageratum conyzoides L.,tropical whiteweed,Asteraceae,Virgin Islands
AGEG,,Agave eggersiana Trel.,Eggers' century plant,Agavaceae,Virgin Islands
AGERA,,Ageratum L.,whiteweed,Asteraceae,Virgin Islands
AGMI4,,Agave missionum Trel.,corita,Agavaceae,Virgin Islands
AGMI4,AGPO,Agave portoricensis Trel.,,Agavaceae,Virgin Islands
AGSI2,,Agave sisalana Perrine,sisal hemp,Agavaceae,Virgin Islands
AGSI2,AGRIS,Agave rigida Mill. var. sisalana (Perrine) Engelm.,,Agavaceae,Virgin Islands
ALAL4,,Allium allegheniense Small,Allegheny onion,Liliaceae,Virgin Islands
ALBE,,Alternanthera bettzichiana (Regel) Voss,calicoplant,Amaranthaceae,Virgin Islands
ALBE,ACBE3,Achyranthes bettzichiana (Regel) Standl.,,Amaranthaceae,Virgin Islands
ALBE,ACFIB,Achyranthes ficoidea (L.) Lam. ssp. bettzichiana (Regel) Baker,,Amaranthaceae,Virgin Islands
ALBE,ALAM11,Alternanthera amoena (Lemaire) Voss,,Amaranthaceae,Virgin Islands
