Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ACPU,SPPU5,Spilanthes pusilla Hook. & Arn.,,Asteraceae,Puerto Rico
ACQU,,Acisanthera quadrata Pers.,dustseed,Melastomataceae,Puerto Rico
ACQU,ACAC4,"Acisanthera acisanthera (L.) Britton, nom. inval.",,Melastomataceae,Puerto Rico
ACROC,,Acrocomia Mart.,acrocomia,Arecaceae,Puerto Rico
ACROS,,Acrostichum L.,leatherfern,Pteridaceae,Puerto Rico
ACSE,,Acalypha setosa A. Rich.,Cuban copperleaf,Euphorbiaceae,Puerto Rico
ACWI,,Acalypha wilkesiana Müll. Arg.,Wilkes' acalypha,Euphorbiaceae,Puerto Rico
ACWI,ACAMW,Acalypha amentacea Roxb. ssp. wilkesiana (Müll. Arg.) Fosberg,,Euphorbiaceae,Puerto Rico
ADANS2,,Adansonia L.,adansonia,Bombacaceae,Puerto Rico
ADCA,,Adiantum capillus-veneris L.,common maidenhair,Pteridaceae,Puerto Rico
ADCA,ADCAM,Adiantum capillus-veneris L. var. modestum (Underw.) Fernald,,Pteridaceae,Puerto Rico
ADCA,ADCAP,Adiantum capillus-veneris L. var. protrusum Fernald,,Pteridaceae,Puerto Rico
ADCA,ADMO2,Adiantum modestum Underw.,,Pteridaceae,Puerto Rico
ADCO,,Adiantum concinnum Humb. & Bonpl. ex Willd.,polished maidenhair,Pteridaceae,Puerto Rico
ADDI3,,Adansonia digitata L.,baobab,Bombacaceae,Puerto Rico
ADELI,,Adelia L.,wild lime,Euphorbiaceae,Puerto Rico
ADENA,,Adenanthera L.,beadtree,Fabaceae,Puerto Rico
ADENO4,,Adenostemma J.R. Forst. & G. Forst.,medicineplant,Asteraceae,Puerto Rico
ADFR,,Adiantum fragile Sw.,fragile maidenhair,Pteridaceae,Puerto Rico
ADFRF,,Adiantum fragile Sw. var. fragile,fragile maidenhair,Pteridaceae,Puerto Rico
ADFRR,,Adiantum fragile Sw. var. rigidulum (Mett. ex Kuhn) Proctor,fragile maidenhair,Pteridaceae,Puerto Rico
ADFRR,ADRI2,Adiantum rigidulum Mett. ex Kuhn,,Pteridaceae,Puerto Rico
ADIAN,,Adiantum L.,maidenhair fern,Pteridaceae,Puerto Rico
ADLA,,Adiantum latifolium Lam.,broadleaf maidenhair,Pteridaceae,Puerto Rico
ADMA,,Adiantum macrophyllum Sw.,largeleaf maidenhair,Pteridaceae,Puerto Rico
ADME,,Adiantum melanoleucum Willd.,fragrant maidenhair,Pteridaceae,Puerto Rico
ADOB,,Adiantum obliquum Willd.,oblique maidenhair,Pteridaceae,Puerto Rico
ADPA,,Adenanthera pavonina L.,red beadtree,Fabaceae,Puerto Rico
ADPE3,,Adiantum petiolatum Desv.,stalked maidenhair,Pteridaceae,Puerto Rico
ADPU,,Adiantum pulverulentum L.,glossy maidenhair,Pteridaceae,Puerto Rico
ADPY,,Adiantum pyramidale (L.) Willd.,pyramid maidenhair,Pteridaceae,Puerto Rico
ADPY,ADCR,Adiantum cristatum L.,,Pteridaceae,Puerto Rico
ADRI,,Adelia ricinella L.,wild lime,Euphorbiaceae,Puerto Rico
ADRI,RIRI,"Ricinella ricinella (L.) Britton & P. Wilson, nom. inval.",,Euphorbiaceae,Puerto Rico
ADTE,,Adiantum tenerum Sw.,fan maidenhair,Pteridaceae,Puerto Rico
ADTE2,,Adiantum tetraphyllum Humb. & Bonpl. ex Willd.,fourleaf maidenhair,Pteridaceae,Puerto Rico
ADVE2,,Adenostemma verbesina (L.) Sch. Bip.,tropical medicineplant,Asteraceae,Puerto Rico
ADVE2,COVE7,Cotula verbesina L.,,Asteraceae,Puerto Rico
ADVI,,Adiantum villosum L.,woolly maidenhair,Pteridaceae,Puerto Rico
ADVI4,,Adiantum vivesii Proctor,Puerto Rico maidenhair,Pteridaceae,Puerto Rico
ADWI,,Adiantum wilsonii Hook.,Wilson's maidenhair,Pteridaceae,Puerto Rico
AEAM,,Aeschynomene americana L.,shyleaf,Fabaceae,Puerto Rico
AEAM,AEAMG,Aeschynomene americana L. var. glandulosa (Poir.) Rudd,,Fabaceae,Puerto Rico
AECHM,,Aechmea Ruiz & Pav.,livingvase,Bromeliaceae,Puerto Rico
AEEL,,Aegiphila elata Sw.,tall spiritweed,Verbenaceae,Puerto Rico
AEEV,,Aeschynomene evenia C. Wright,shrubby jointvetch,Fabaceae,Puerto Rico
AEFA3,,Aechmea fasciata (Lindl.) Baker,urnplant,Bromeliaceae,Puerto Rico
AEGIP,,Aegiphila Jacq.,spiritweed,Verbenaceae,Puerto Rico
AEGR,,Aeschynomene gracilis Vogel,Puerto Rico jointvetch,Fabaceae,Puerto Rico
AEGR,AEPO2,Aeschynomene portoricensis Urb.,,Fabaceae,Puerto Rico
AEIN,,Aeschynomene indica L.,Indian jointvetch,Fabaceae,Puerto Rico
AELI,,Aechmea lingulata (L.) Baker,West Indian livingvase,Bromeliaceae,Puerto Rico
AELI,WILI,Wittmackia lingulata (L.) Mez,,Bromeliaceae,Puerto Rico
AEMA,,Aegiphila martinicensis Jacq.,Caribbean spiritweed,Verbenaceae,Puerto Rico
AEMA,AEMAO,Aegiphila martinicensis Jacq. var. oligoneura (Urb.) Moldenke,,Verbenaceae,Puerto Rico
AENU,,Aechmea nudicaulis (L.) Griseb.,nakedstem livingvase,Bromeliaceae,Puerto Rico
AERU,,Aeschynomene rudis Benth.,zigzag jointvetch,Fabaceae,Puerto Rico
AESCH,,Aeschynomene L.,jointvetch,Fabaceae,Puerto Rico
AESE2,,Aeschynomene sensitiva Sw.,sensitive jointvetch,Fabaceae,Puerto Rico
AESES,,Aeschynomene sensitiva Sw. var. sensitiva,sensitive jointvetch,Fabaceae,Puerto Rico
AEVI2,,Aeschynomene villosa Poir.,hairy jointvetch,Fabaceae,Puerto Rico
AGALI,,Agalinis Raf.,false foxglove,Scrophulariaceae,Puerto Rico
AGATH2,,Agathis Salisb.,agathis,Araucariaceae,Puerto Rico
AGAVE,,Agave L.,agave,Agavaceae,Puerto Rico
AGCL3,,Agdestis clematidea Moc. & Sessé ex DC.,rockroot,Phytolaccaceae,Puerto Rico
AGCO,,Ageratum conyzoides L.,tropical whiteweed,Asteraceae,Puerto Rico
AGCO4,,Aglaonema commutatum Schott,Philippine evergreen,Araceae,Puerto Rico
AGCOM,,Aglaonema commutatum Schott var. maculatum (Hook. f.) Nicolson,Philippine evergreen,Araceae,Puerto Rico
AGDES2,,Agdestis Moc. & Sessé ex DC.,agdestis,Phytolaccaceae,Puerto Rico
AGERA,,Ageratum L.,whiteweed,Asteraceae,Puerto Rico
AGERA2,,Ageratina Spach,snakeroot,Asteraceae,Puerto Rico
AGFA2,,Agalinis fasciculata (Elliott) Raf.,beach false foxglove,Scrophulariaceae,Puerto Rico
AGFA2,AGFAP,Agalinis fasciculata (Elliott) Raf. var. peninsularis Pennell,,Scrophulariaceae,Puerto Rico
AGFA2,AGGE,Agalinis georgiana (C.L. Boynt.) Pennell,,Scrophulariaceae,Puerto Rico
AGFA2,AGPUR,Agalinis purpurea (L.) Pennell var. racemulosa (Pennell) B. Boivin,,Scrophulariaceae,Puerto Rico
AGFA2,AGVI4,Agalinis virgata Raf.,,Scrophulariaceae,Puerto Rico
AGFA2,GEFA2,Gerardia fasciculata Elliott,,Scrophulariaceae,Puerto Rico
AGFA2,GEFAP,Gerardia fasciculata Elliott ssp. peninsularis (Pennell) Pennell,,Scrophulariaceae,Puerto Rico
AGFA2,GEGE2,Gerardia georgiana C.L. Boynt.,,Scrophulariaceae,Puerto Rico
AGFA2,GEPUR,Gerardia purpurea L. var. racemulosa (Pennell) Gleason,,Scrophulariaceae,Puerto Rico
AGFA2,GERA6,Gerardia racemulosa Pennell,,Scrophulariaceae,Puerto Rico
AGHY,,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass,Poaceae,Puerto Rico
AGHY,AGAN2,Agrostis antecedens E.P. Bicknell,,Poaceae,Puerto Rico
AGHY,COHY2,Cornucopiae hyemalis Walter,,Poaceae,Puerto Rico
AGLAO,,Aglaonema Schott,aglaonema,Araceae,Puerto Rico
AGMI4,,Agave missionum Trel.,corita,Agavaceae,Puerto Rico
AGMI4,AGPO,Agave portoricensis Trel.,,Agavaceae,Puerto Rico
AGMI8,,Agave minor Proctor,Proctor's agave,Agavaceae,Puerto Rico
AGPI2,,Aglaonema pictum (Roxb.) Kunth,cara de caballo,Araceae,Puerto Rico
AGPI2,CAPI12,Calla picta Roxb.,,Araceae,Puerto Rico
AGRE3,,Ageratina resiniflua (Urb.) R.M. King & H. Rob.,resinous snakeroot,Asteraceae,Puerto Rico
AGRE3,EURE11,Eupatorium resinifluum Urb.,,Asteraceae,Puerto Rico
AGRO6,,Agathis robusta (C. Moore ex F. Muell.) F.M. Bailey,Queensland kauri,Araucariaceae,Puerto Rico
AGROS2,,Agrostis L.,bentgrass,Poaceae,Puerto Rico
AGSI2,,Agave sisalana Perrine,sisal hemp,Agavaceae,Puerto Rico
AGSI2,AGRIS,Agave rigida Mill. var. sisalana (Perrine) Engelm.,,Agavaceae,Puerto Rico
AIMI,,Aiphanes minima (Gaertn.) Burret,Guinea bactris,Arecaceae,Puerto Rico
AIMI,AIAC,Aiphanes acanthophylla (Mart.) Burret,,Arecaceae,Puerto Rico
AIMI,BAAC2,Bactris acanthophylla Mart.,,Arecaceae,Puerto Rico
AIMI,CUCA7,Curima calophylla O.F. Cook,,Arecaceae,Puerto Rico
AIPHA,,Aiphanes Willd.,aiphanes,Arecaceae,Puerto Rico
